Node_ID,Top_1,Top_2,Top_3,Top_4,Top_5
3085,"(3234, 0.8985288739204407)","(3240, 0.8912461996078491)","(3238, 0.890463650226593)","(5912, 0.8902069330215454)","(3236, 0.8900675773620605)"
3086,"(142, 0.765882670879364)","(2067, 0.7648791074752808)","(4025, 0.7645331025123596)","(17040, 0.7643560767173767)","(7191, 0.7519557476043701)"
3087,"(3285, 0.9876116514205933)","(10806, 0.9873861074447632)","(939, 0.9869409799575806)","(178, 0.9858198761940002)","(10807, 0.9856789112091064)"
3088,"(10807, 0.9891954660415649)","(10806, 0.9875183701515198)","(178, 0.9860725998878479)","(3285, 0.9857741594314575)","(985, 0.9856944680213928)"
3089,"(10806, 0.9908761978149414)","(10807, 0.9906061887741089)","(178, 0.9898929595947266)","(3285, 0.9898243546485901)","(939, 0.9883301258087158)"
3090,"(503, 0.9701796770095825)","(329, 0.9660521745681763)","(6440, 0.9658914804458618)","(330, 0.9654064178466797)","(2076, 0.9628959894180298)"
3091,"(503, 0.964127779006958)","(329, 0.9617946147918701)","(466, 0.9596534371376038)","(330, 0.9592931866645813)","(3000, 0.9591423273086548)"
3092,"(12892, 0.6433420777320862)","(1787, 0.6433385014533997)","(346, 0.6415358185768127)","(12995, 0.6413516998291016)","(1788, 0.6404705047607422)"
3093,"(1787, 0.6417886018753052)","(12892, 0.6408998370170593)","(346, 0.6397626399993896)","(12995, 0.6392399072647095)","(1788, 0.639068603515625)"
3094,"(1787, 0.6430349349975586)","(12892, 0.6419398188591003)","(346, 0.640239953994751)","(12995, 0.6401754021644592)","(1788, 0.6399867534637451)"
3095,"(1787, 0.6428089737892151)","(12892, 0.6422318816184998)","(346, 0.6410579681396484)","(12995, 0.6405428051948547)","(1788, 0.6402670741081238)"
3096,"(15002, 0.6450088024139404)","(9698, 0.6448972225189209)","(372, 0.6443834900856018)","(370, 0.6443263292312622)","(369, 0.6438601016998291)"
3097,"(15002, 0.6446300745010376)","(370, 0.644191563129425)","(9698, 0.6441859602928162)","(372, 0.6440638303756714)","(369, 0.6437005996704102)"
3098,"(9071, 0.8243297934532166)","(9070, 0.8209017515182495)","(9072, 0.8199661374092102)","(14323, 0.8037860989570618)","(8732, 0.8022064566612244)"
3099,"(9072, 0.9296442270278931)","(9071, 0.9294251203536987)","(9070, 0.927466094493866)","(14323, 0.917561948299408)","(14324, 0.9125237464904785)"
3100,"(9071, 0.9157596230506897)","(9070, 0.912441074848175)","(9072, 0.9109744429588318)","(14323, 0.8950181007385254)","(9326, 0.8914029002189636)"
3101,"(2099, 0.6438392400741577)","(579, 0.6430675983428955)","(4316, 0.6404249668121338)","(813, 0.6385747194290161)","(2098, 0.6381388902664185)"
3102,"(2099, 0.6455271244049072)","(4316, 0.6402078866958618)","(5672, 0.6398699283599854)","(2098, 0.6397842764854431)","(813, 0.6388760209083557)"
3103,"(3026, 0.9234388470649719)","(3024, 0.9228706359863281)","(3025, 0.9178627133369446)","(4725, 0.8397954106330872)","(4724, 0.8009502291679382)"
3104,"(3026, 0.922698438167572)","(3024, 0.9191720485687256)","(3025, 0.9127948880195618)","(4725, 0.843972384929657)","(4724, 0.798332154750824)"
3105,"(3026, 0.9277016520500183)","(3024, 0.9195557236671448)","(3025, 0.9190018177032471)","(4725, 0.8482311367988586)","(4724, 0.8030313849449158)"
3106,"(3026, 0.9292166829109192)","(3024, 0.9238019585609436)","(3025, 0.9221940040588379)","(4725, 0.8469377160072327)","(4724, 0.8044059872627258)"
3107,"(12924, 0.9984740018844604)","(1278, 0.9984079599380493)","(2121, 0.9983858466148376)","(1277, 0.9982841610908508)","(2638, 0.9980922341346741)"
3108,"(2639, 0.9983017444610596)","(1278, 0.9982815980911255)","(423, 0.9982262253761292)","(2640, 0.9981630444526672)","(422, 0.9980646371841431)"
3109,"(750, 0.9379076361656189)","(749, 0.9376275539398193)","(9857, 0.9339067935943604)","(748, 0.927698016166687)","(9859, 0.9243801832199097)"
3110,"(9857, 0.932915449142456)","(750, 0.9300298094749451)","(8066, 0.9273120164871216)","(749, 0.9239301681518555)","(9859, 0.9220906496047974)"
3111,"(9857, 0.9385031461715698)","(750, 0.9339087009429932)","(749, 0.9291971325874329)","(8066, 0.9276556968688965)","(9859, 0.9271563291549683)"
3112,"(8066, 0.9232674241065979)","(750, 0.9199918508529663)","(9857, 0.9185228943824768)","(749, 0.9183342456817627)","(8069, 0.9085986614227295)"
3113,"(750, 0.9319894909858704)","(749, 0.9299482703208923)","(9857, 0.926133930683136)","(748, 0.919953465461731)","(8066, 0.9189403057098389)"
3114,"(750, 0.934614360332489)","(9857, 0.929574191570282)","(749, 0.9248385429382324)","(8066, 0.9219064712524414)","(9859, 0.91996830701828)"
3115,"(15527, 0.6407051086425781)","(15526, 0.6403040289878845)","(4894, 0.6397582292556763)","(4893, 0.6385477781295776)","(1149, 0.6354880928993225)"
3116,"(15527, 0.6425643563270569)","(15526, 0.6423544883728027)","(4894, 0.6409667730331421)","(4893, 0.6397475004196167)","(1149, 0.6351688504219055)"
3117,"(15527, 0.642528772354126)","(15526, 0.6424745321273804)","(4894, 0.6415831446647644)","(4893, 0.6403855681419373)","(1148, 0.6364441514015198)"
3118,"(4894, 0.6412929892539978)","(15527, 0.6411653757095337)","(15526, 0.6411094665527344)","(4893, 0.6401367783546448)","(1148, 0.6360054612159729)"
3119,"(15527, 0.6434492468833923)","(15526, 0.6430590152740479)","(4894, 0.6416357755661011)","(4893, 0.6403232216835022)","(1148, 0.637484610080719)"
3120,"(1157, 0.6642512083053589)","(1158, 0.662501871585846)","(1785, 0.6605668663978577)","(1786, 0.6593802571296692)","(347, 0.6539771556854248)"
3121,"(1157, 0.6535784006118774)","(1158, 0.6520939469337463)","(1785, 0.6497403979301453)","(1786, 0.6487856507301331)","(347, 0.6422906517982483)"
3122,"(1157, 0.6572534441947937)","(1158, 0.6556140780448914)","(1785, 0.6524674296379089)","(1786, 0.6513292193412781)","(347, 0.6455019116401672)"
3123,"(1157, 0.653513491153717)","(1158, 0.6514791250228882)","(1785, 0.6465796828269958)","(1786, 0.6453816294670105)","(347, 0.6407232284545898)"
3124,"(1157, 0.6611955165863037)","(1158, 0.6595280170440674)","(1785, 0.6563639640808105)","(1786, 0.6552451848983765)","(347, 0.6503363847732544)"
3125,"(1157, 0.6625857949256897)","(1158, 0.6608812808990479)","(1785, 0.6581565737724304)","(1786, 0.6571043133735657)","(347, 0.6510880589485168)"
3126,"(1157, 0.6586285829544067)","(1158, 0.6569132804870605)","(1785, 0.653928816318512)","(1786, 0.6531306505203247)","(347, 0.6486002802848816)"
3127,"(1157, 0.6629754900932312)","(1158, 0.6610730886459351)","(1785, 0.6579983830451965)","(1786, 0.6566774845123291)","(347, 0.6508952379226685)"
3128,"(1157, 0.6503974795341492)","(1158, 0.6484905481338501)","(1785, 0.6452704668045044)","(1786, 0.6438170075416565)","(347, 0.6374632716178894)"
3129,"(1157, 0.6530095338821411)","(1158, 0.6511643528938293)","(1785, 0.6485545635223389)","(1786, 0.6474306583404541)","(347, 0.6407307982444763)"
3130,"(1157, 0.6540339589118958)","(1158, 0.6524156928062439)","(1785, 0.6481142640113831)","(1786, 0.647007167339325)","(347, 0.6417874693870544)"
3131,"(1157, 0.6525798439979553)","(1158, 0.6509142518043518)","(1785, 0.6472817659378052)","(1786, 0.6461446285247803)","(347, 0.6414310932159424)"
3132,"(1157, 0.6577064394950867)","(1158, 0.6567588448524475)","(1785, 0.6527422666549683)","(1786, 0.6520630717277527)","(347, 0.6469853520393372)"
3133,"(1157, 0.6598840951919556)","(1158, 0.6582183241844177)","(1785, 0.6556538939476013)","(1786, 0.6546065807342529)","(347, 0.6478681564331055)"
3134,"(4066, 0.6536380052566528)","(10106, 0.6533099412918091)","(4065, 0.6493823528289795)","(346, 0.6485709547996521)","(959, 0.6482368111610413)"
3135,"(4066, 0.6485129594802856)","(10106, 0.6454861760139465)","(965, 0.6448045372962952)","(4065, 0.644208550453186)","(959, 0.6438539624214172)"
3136,"(4066, 0.6453368663787842)","(10106, 0.6432066559791565)","(965, 0.6418436169624329)","(4065, 0.6412326097488403)","(959, 0.6405876874923706)"
3137,"(4066, 0.6498327851295471)","(10106, 0.646827757358551)","(4065, 0.6456351280212402)","(959, 0.6447010040283203)","(346, 0.6435731649398804)"
3138,"(4066, 0.6525970697402954)","(10106, 0.6501809358596802)","(4065, 0.6483355760574341)","(959, 0.6466444730758667)","(346, 0.6465427279472351)"
3139,"(4066, 0.6599525213241577)","(10106, 0.6588519215583801)","(4065, 0.6559290885925293)","(959, 0.6546940207481384)","(346, 0.6538333892822266)"
3140,"(4066, 0.647736132144928)","(10106, 0.6444521546363831)","(4065, 0.6437732577323914)","(959, 0.6420554518699646)","(346, 0.6419955492019653)"
3141,"(4066, 0.6569492816925049)","(4065, 0.6527501344680786)","(10106, 0.6526836156845093)","(959, 0.650806188583374)","(346, 0.6499956250190735)"
3142,"(4066, 0.6538427472114563)","(10106, 0.6511997580528259)","(4065, 0.6495792865753174)","(959, 0.6493400931358337)","(346, 0.6479394435882568)"
3143,"(4066, 0.6497159600257874)","(10106, 0.6476463079452515)","(965, 0.6461431384086609)","(4065, 0.6453393697738647)","(959, 0.644763708114624)"
3144,"(4066, 0.6498317718505859)","(10106, 0.6472338438034058)","(4065, 0.6457566618919373)","(959, 0.6447347402572632)","(346, 0.6442323327064514)"
3145,"(4211, 0.6626589298248291)","(4213, 0.6617486476898193)","(4210, 0.659250020980835)","(1785, 0.6547682881355286)","(4212, 0.653005838394165)"
3146,"(4211, 0.6648119688034058)","(4213, 0.6640510559082031)","(4210, 0.6614201068878174)","(4212, 0.6552488207817078)","(1785, 0.6546531915664673)"
3147,"(4211, 0.6593998670578003)","(4213, 0.6589741110801697)","(4210, 0.6561672687530518)","(1785, 0.6551603674888611)","(1786, 0.6509184241294861)"
3148,"(13364, 0.994252622127533)","(5473, 0.9938018321990967)","(7168, 0.9932957887649536)","(5472, 0.9926722645759583)","(5474, 0.9922128319740295)"
3149,"(13364, 0.9948872327804565)","(5473, 0.9939786195755005)","(7168, 0.9938085675239563)","(5472, 0.9925210475921631)","(7169, 0.992375910282135)"
3150,"(5473, 0.9934726357460022)","(13364, 0.9933426380157471)","(5472, 0.9924415349960327)","(7168, 0.992306649684906)","(5474, 0.9920222163200378)"
3151,"(1357, 0.8622010946273804)","(1355, 0.8594213724136353)","(1356, 0.8555886149406433)","(1988, 0.7068827748298645)","(1989, 0.678854763507843)"
3152,"(2091, 0.9980158805847168)","(558, 0.6476133465766907)","(8975, 0.6460527777671814)","(8974, 0.6444214582443237)","(559, 0.6443685293197632)"
3153,"(2091, 0.9980918765068054)","(558, 0.6384744644165039)","(8975, 0.6361712217330933)","(1785, 0.6350633502006531)","(559, 0.6350123286247253)"
3154,"(2091, 0.998442530632019)","(558, 0.6411068439483643)","(8975, 0.639522910118103)","(8974, 0.6379575133323669)","(559, 0.6379254460334778)"
3155,"(2091, 0.9980185031890869)","(558, 0.646899402141571)","(8975, 0.6455449461936951)","(1786, 0.644386351108551)","(1785, 0.6441449522972107)"
3156,"(2091, 0.9982022047042847)","(558, 0.6435006856918335)","(8975, 0.6417027115821838)","(1786, 0.6408984065055847)","(1785, 0.640683650970459)"
3157,"(2091, 0.9980553388595581)","(558, 0.6413436532020569)","(8975, 0.6393656730651855)","(559, 0.6380068063735962)","(1786, 0.6379512548446655)"
3158,"(2091, 0.9982237815856934)","(558, 0.6379493474960327)","(8975, 0.636165201663971)","(559, 0.6345973610877991)","(8974, 0.6344306468963623)"
3159,"(2091, 0.9982329607009888)","(558, 0.6404924988746643)","(8975, 0.6394127607345581)","(8974, 0.6375418305397034)","(559, 0.6372776031494141)"
3160,"(3616, 0.9817530512809753)","(16685, 0.9761155843734741)","(16686, 0.9747645854949951)","(16684, 0.9740113615989685)","(14302, 0.913442850112915)"
3161,"(3616, 0.9764549732208252)","(16685, 0.96926349401474)","(16686, 0.968072235584259)","(16684, 0.9672441482543945)","(14302, 0.9026010632514954)"
3162,"(3616, 0.9827277660369873)","(16685, 0.9769956469535828)","(16686, 0.9758173227310181)","(16684, 0.9753867983818054)","(14302, 0.9156550765037537)"
3163,"(3616, 0.9812784194946289)","(16685, 0.9756891131401062)","(16686, 0.9745880365371704)","(16684, 0.9737294316291809)","(14302, 0.9128769040107727)"
3164,"(3616, 0.9821144938468933)","(16685, 0.9754967093467712)","(16686, 0.9741519689559937)","(16684, 0.973694384098053)","(14302, 0.9144486784934998)"
3165,"(3616, 0.976848840713501)","(16685, 0.9700078964233398)","(16686, 0.9686334729194641)","(16684, 0.9680278897285461)","(14302, 0.9047729969024658)"
3166,"(3616, 0.9759356379508972)","(16685, 0.9684302806854248)","(16686, 0.9672520160675049)","(16684, 0.9663742780685425)","(14302, 0.9013473391532898)"
3167,"(3616, 0.9825475811958313)","(16685, 0.976256251335144)","(16686, 0.975304126739502)","(16684, 0.9747018218040466)","(14302, 0.9164475202560425)"
3168,"(3616, 0.9782043099403381)","(16685, 0.9718835353851318)","(16686, 0.9706084728240967)","(16684, 0.9699460864067078)","(14302, 0.9075399041175842)"
3169,"(1039, 0.656609296798706)","(832, 0.6543217301368713)","(831, 0.6525099277496338)","(1038, 0.6515403389930725)","(13109, 0.6506673097610474)"
3170,"(1157, 0.6659272909164429)","(9684, 0.660843014717102)","(9683, 0.6599164605140686)","(1158, 0.6511492729187012)","(2815, 0.6421253681182861)"
3171,"(1157, 0.6647053956985474)","(9684, 0.660983145236969)","(9683, 0.6597505807876587)","(1158, 0.6502889394760132)","(14046, 0.6422943472862244)"
3172,"(1500, 0.943909227848053)","(1934, 0.9374410510063171)","(611, 0.9318491220474243)","(1933, 0.9314595460891724)","(3658, 0.9259786009788513)"
3173,"(1500, 0.947029709815979)","(1934, 0.9403823018074036)","(1933, 0.9314279556274414)","(3658, 0.9307511448860168)","(611, 0.9297842383384705)"
3174,"(1500, 0.9500434398651123)","(1934, 0.9434370398521423)","(1933, 0.9380764365196228)","(611, 0.9309421181678772)","(3658, 0.9297686815261841)"
3175,"(1500, 0.8797739744186401)","(1934, 0.8698699474334717)","(1933, 0.8613807559013367)","(611, 0.8531490564346313)","(612, 0.8428838849067688)"
3176,"(4034, 0.640336275100708)","(347, 0.6388550400733948)","(4033, 0.6386865377426147)","(6289, 0.6386483311653137)","(346, 0.6379707455635071)"
3177,"(13007, 0.6394104361534119)","(13003, 0.6391782760620117)","(13006, 0.6383675932884216)","(4034, 0.6381261348724365)","(347, 0.6371933817863464)"
3178,"(4034, 0.6398354172706604)","(347, 0.6387022137641907)","(4033, 0.6383979916572571)","(6289, 0.6382995247840881)","(346, 0.6377077102661133)"
3179,"(4034, 0.6385176777839661)","(4033, 0.6366925835609436)","(347, 0.6364943981170654)","(6289, 0.6358307600021362)","(346, 0.6355278491973877)"
3180,"(4034, 0.6377349495887756)","(13007, 0.6360943913459778)","(4033, 0.6358808875083923)","(13003, 0.6358367204666138)","(347, 0.6353790163993835)"
3181,"(13007, 0.6383453607559204)","(13003, 0.6381794810295105)","(4034, 0.637923002243042)","(13006, 0.63737553358078)","(347, 0.6373605728149414)"
3182,"(4034, 0.6414212584495544)","(347, 0.6402974128723145)","(4033, 0.6400340795516968)","(6289, 0.6397498846054077)","(346, 0.6394949555397034)"
3183,"(4034, 0.638941764831543)","(4033, 0.6373549103736877)","(347, 0.6372434496879578)","(6289, 0.6368425488471985)","(346, 0.6363692283630371)"
3184,"(2099, 0.6586940288543701)","(2098, 0.6558272242546082)","(13107, 0.6487576365470886)","(13109, 0.6486840844154358)","(13108, 0.646521806716919)"
3185,"(2099, 0.659022331237793)","(2098, 0.6558345556259155)","(13107, 0.6478835344314575)","(13109, 0.6477915644645691)","(13108, 0.6455402374267578)"
3186,"(2099, 0.6571453809738159)","(2098, 0.6537754535675049)","(13107, 0.6473716497421265)","(13109, 0.6472870707511902)","(13108, 0.6450696587562561)"
3187,"(2099, 0.6598157286643982)","(2098, 0.6564788818359375)","(13109, 0.6495330333709717)","(13107, 0.6490737795829773)","(13108, 0.6469423770904541)"
3188,"(2099, 0.6569910645484924)","(2098, 0.6537509560585022)","(13107, 0.6473605632781982)","(13109, 0.6472672820091248)","(13108, 0.6451488733291626)"
3189,"(5499, 0.9530637264251709)","(6382, 0.9511222243309021)","(5431, 0.9499834179878235)","(5432, 0.9471158385276794)","(5498, 0.9447547197341919)"
3190,"(5499, 0.9535191059112549)","(6383, 0.9508599638938904)","(6382, 0.9493877291679382)","(6381, 0.9473413825035095)","(5494, 0.9438846111297607)"
3191,"(5431, 0.9565821886062622)","(6382, 0.9553223252296448)","(5499, 0.9523552656173706)","(5432, 0.9505354166030884)","(6383, 0.9445989727973938)"
3192,"(5431, 0.9435401558876038)","(6382, 0.9434776902198792)","(17987, 0.9425044059753418)","(5433, 0.9424068331718445)","(5432, 0.9403997659683228)"
3193,"(16436, 0.9816712737083435)","(16437, 0.9727718234062195)","(12458, 0.9567553400993347)","(16055, 0.9504330158233643)","(16053, 0.9488354325294495)"
3194,"(2646, 0.9153690934181213)","(2647, 0.9069855809211731)","(2645, 0.9039543271064758)","(2644, 0.8921326398849487)","(6838, 0.8912892937660217)"
3195,"(751, 0.840217113494873)","(9656, 0.83442223072052)","(2746, 0.8193565011024475)","(2645, 0.8191831707954407)","(2749, 0.8152450919151306)"
3196,"(2646, 0.9063029289245605)","(2647, 0.8990368843078613)","(2645, 0.8980181813240051)","(6838, 0.895865797996521)","(2644, 0.8855090141296387)"
3197,"(1157, 0.658594012260437)","(1158, 0.6546177268028259)","(1038, 0.6490685939788818)","(2099, 0.6459463834762573)","(8975, 0.6459223031997681)"
3198,"(10524, 0.9985693097114563)","(10525, 0.9984112977981567)","(10526, 0.9982432126998901)","(10527, 0.9981312155723572)","(1157, 0.6416683197021484)"
3199,"(10524, 0.9989744424819946)","(10526, 0.9986435770988464)","(10525, 0.9985665082931519)","(10527, 0.9984474182128906)","(1157, 0.6541604995727539)"
3200,"(2896, 0.9420765042304993)","(1549, 0.940392255783081)","(6109, 0.9051987528800964)","(6110, 0.9037001132965088)","(2984, 0.896870493888855)"
3201,"(1549, 0.9456706047058105)","(2896, 0.9448047876358032)","(6109, 0.9115182161331177)","(6110, 0.9050562977790833)","(2984, 0.8998077511787415)"
3202,"(2896, 0.9387158155441284)","(1549, 0.9328427314758301)","(6109, 0.9032903909683228)","(6110, 0.896807074546814)","(2984, 0.8941035866737366)"
3203,"(2896, 0.9267032146453857)","(1549, 0.9208837747573853)","(6109, 0.8868453502655029)","(6110, 0.8836292028427124)","(2984, 0.8803474307060242)"
3204,"(5671, 0.6547428369522095)","(5672, 0.6497328281402588)","(976, 0.6493667364120483)","(2517, 0.6480339765548706)","(974, 0.6475813388824463)"
3205,"(5671, 0.6524835228919983)","(5672, 0.6467313170433044)","(976, 0.6466012001037598)","(974, 0.6445253491401672)","(2517, 0.6437726616859436)"
3206,"(5671, 0.6527485251426697)","(976, 0.6476027965545654)","(5672, 0.6472222805023193)","(2517, 0.6458048820495605)","(974, 0.6455227732658386)"
3207,"(5671, 0.6528947353363037)","(976, 0.6483097672462463)","(5672, 0.647304356098175)","(2517, 0.646467924118042)","(974, 0.6463091373443604)"
3208,"(5671, 0.652822732925415)","(976, 0.6479464769363403)","(5672, 0.6474499702453613)","(974, 0.6460902094841003)","(2517, 0.6456494331359863)"
3209,"(5671, 0.6550995111465454)","(976, 0.6497043967247009)","(5672, 0.6496995687484741)","(2517, 0.6481051445007324)","(2518, 0.6477665901184082)"
3210,"(5161, 0.9516434669494629)","(7047, 0.9499431848526001)","(7046, 0.9492030739784241)","(5164, 0.9487249255180359)","(7050, 0.9482918977737427)"
3211,"(5165, 0.9595877528190613)","(5161, 0.9594685435295105)","(5162, 0.9590095281600952)","(5164, 0.9583182334899902)","(7046, 0.9559406638145447)"
3212,"(5161, 0.9619920253753662)","(5164, 0.961178183555603)","(5162, 0.9603702425956726)","(5165, 0.9585168957710266)","(7047, 0.9568295478820801)"
3213,"(807, 0.9598976969718933)","(1215, 0.9576839804649353)","(808, 0.9561541080474854)","(806, 0.9555793404579163)","(1217, 0.9549609422683716)"
3214,"(807, 0.9615176320075989)","(808, 0.9604048728942871)","(2520, 0.9597638845443726)","(4740, 0.958737313747406)","(2521, 0.9580111503601074)"
3215,"(1215, 0.9583202600479126)","(807, 0.956922709941864)","(2787, 0.9540666937828064)","(1216, 0.953926682472229)","(808, 0.9535514116287231)"
3216,"(1215, 0.9668658971786499)","(1217, 0.9639326333999634)","(1216, 0.9630170464515686)","(2520, 0.9620691537857056)","(4741, 0.9602878093719482)"
3217,"(807, 0.965959906578064)","(808, 0.9636775255203247)","(1216, 0.9620770812034607)","(806, 0.9620173573493958)","(4740, 0.9617139101028442)"
3218,"(8947, 0.9954982995986938)","(8948, 0.9948849678039551)","(8946, 0.994750440120697)","(2357, 0.9535097479820251)","(14328, 0.8698886632919312)"
3219,"(8947, 0.9950248599052429)","(8946, 0.9949056506156921)","(8948, 0.9934511780738831)","(2357, 0.955023467540741)","(14328, 0.8706650137901306)"
3220,"(8947, 0.9951983690261841)","(8948, 0.9941309690475464)","(8946, 0.9940300583839417)","(2357, 0.94941246509552)","(14328, 0.8621566295623779)"
3221,"(17712, 0.9850711226463318)","(68, 0.9837880730628967)","(1795, 0.9833037257194519)","(4093, 0.9808012247085571)","(4092, 0.9807237386703491)"
3222,"(17712, 0.9829767942428589)","(438, 0.9791431427001953)","(4093, 0.9785897731781006)","(1795, 0.9766443371772766)","(907, 0.9752074480056763)"
3223,"(571, 0.9749299883842468)","(760, 0.97381591796875)","(154, 0.9695131182670593)","(761, 0.9672530293464661)","(572, 0.9645059108734131)"
3224,"(571, 0.9689187407493591)","(760, 0.9641337394714355)","(572, 0.9630920886993408)","(154, 0.9620159268379211)","(761, 0.9537434577941895)"
3225,"(571, 0.965131938457489)","(760, 0.9620918035507202)","(154, 0.9602932929992676)","(572, 0.9562117457389832)","(761, 0.9529270529747009)"
3226,"(571, 0.9725213646888733)","(760, 0.9688162803649902)","(154, 0.9647036194801331)","(761, 0.963603138923645)","(572, 0.9627525210380554)"
3227,"(571, 0.9754306077957153)","(760, 0.9714217782020569)","(154, 0.9709582328796387)","(572, 0.9664826989173889)","(761, 0.9659422636032104)"
3228,"(13773, 0.9854804277420044)","(13771, 0.9848122596740723)","(13770, 0.9829386472702026)","(13772, 0.9822755455970764)","(10636, 0.9679588079452515)"
3229,"(13772, 0.9774681329727173)","(13773, 0.9753199815750122)","(13770, 0.9725809693336487)","(13771, 0.9725040793418884)","(10636, 0.957065999507904)"
3230,"(13771, 0.9866284728050232)","(13770, 0.9846678376197815)","(13773, 0.9841904640197754)","(13772, 0.9814752340316772)","(10634, 0.9661309123039246)"
3231,"(13770, 0.9816330671310425)","(13771, 0.9815495610237122)","(13773, 0.979660153388977)","(13772, 0.9758999943733215)","(10634, 0.9653465151786804)"
3232,"(5912, 0.9100650548934937)","(5915, 0.9078404307365417)","(5913, 0.9077491164207458)","(5911, 0.9065039157867432)","(5910, 0.9044121503829956)"
3233,"(5912, 0.9266859889030457)","(5911, 0.9229660630226135)","(5910, 0.9225277304649353)","(5913, 0.9224138855934143)","(5915, 0.9221685528755188)"
3234,"(5912, 0.933772623538971)","(5913, 0.9303967952728271)","(5915, 0.9298685789108276)","(5911, 0.929598331451416)","(5910, 0.9281302690505981)"
3235,"(5912, 0.9261884093284607)","(5911, 0.9247466921806335)","(5910, 0.9243696331977844)","(5915, 0.9237310886383057)","(5913, 0.9237033724784851)"
3236,"(5912, 0.9168359637260437)","(5911, 0.9147036075592041)","(5915, 0.9145683646202087)","(5913, 0.9143397808074951)","(5914, 0.9111785292625427)"
3237,"(5912, 0.9106939435005188)","(5913, 0.9100163578987122)","(5911, 0.9079342484474182)","(5915, 0.9067392945289612)","(5910, 0.9058709144592285)"
3238,"(5912, 0.9236687421798706)","(5915, 0.9220983982086182)","(5913, 0.9209344387054443)","(5911, 0.9203802347183228)","(5910, 0.9196621775627136)"
3239,"(5912, 0.9193975329399109)","(5915, 0.9157248735427856)","(5910, 0.9149448871612549)","(5913, 0.9149201512336731)","(5911, 0.9144997000694275)"
3240,"(5912, 0.9084208011627197)","(5911, 0.9047958254814148)","(5915, 0.9038934707641602)","(5913, 0.902891218662262)","(5914, 0.9025631546974182)"
3241,"(9451, 0.9936738014221191)","(9454, 0.9927540421485901)","(9446, 0.9927235841751099)","(9449, 0.9925395250320435)","(9457, 0.9925141334533691)"
3242,"(9451, 0.9918123483657837)","(9454, 0.9909668564796448)","(9446, 0.990913987159729)","(9449, 0.9908882975578308)","(9457, 0.9908190965652466)"
3243,"(9451, 0.9929944276809692)","(9446, 0.9919787049293518)","(9449, 0.9919549226760864)","(9454, 0.9918470978736877)","(9457, 0.9918020963668823)"
3244,"(9451, 0.9927663207054138)","(9446, 0.9918490648269653)","(9454, 0.991802453994751)","(9449, 0.9916829466819763)","(9457, 0.9913928508758545)"
3245,"(958, 0.6252624988555908)","(959, 0.6188819408416748)","(2831, 0.613052487373352)","(9684, 0.6110354661941528)","(2830, 0.609715461730957)"
3246,"(167, 0.9888034462928772)","(165, 0.9885927438735962)","(162, 0.9883750677108765)","(163, 0.9869369864463806)","(166, 0.9864885807037354)"
3247,"(165, 0.9902844429016113)","(167, 0.9901700019836426)","(162, 0.9897921681404114)","(163, 0.9883214831352234)","(166, 0.9882397651672363)"
3248,"(165, 0.9895813465118408)","(167, 0.9895092248916626)","(162, 0.9891955852508545)","(163, 0.9876312017440796)","(166, 0.9874942898750305)"
3249,"(165, 0.9897311329841614)","(167, 0.9897284507751465)","(162, 0.9893426299095154)","(163, 0.987939715385437)","(166, 0.9879360795021057)"
3250,"(832, 0.659608781337738)","(958, 0.6585537195205688)","(831, 0.65729159116745)","(1076, 0.6514538526535034)","(8974, 0.650820255279541)"
3251,"(832, 0.6609055399894714)","(958, 0.6586069464683533)","(831, 0.6585896611213684)","(8974, 0.6511751413345337)","(959, 0.6502404808998108)"
3252,"(832, 0.659212052822113)","(958, 0.6588483452796936)","(831, 0.6573235988616943)","(959, 0.651070773601532)","(8974, 0.6500513553619385)"
3253,"(832, 0.6607042551040649)","(958, 0.660423755645752)","(831, 0.6581448912620544)","(1076, 0.6524800062179565)","(959, 0.6523473262786865)"
3254,"(958, 0.6573508381843567)","(832, 0.6570189595222473)","(831, 0.655109167098999)","(1076, 0.650246798992157)","(8974, 0.6499624848365784)"
3255,"(832, 0.6619442105293274)","(958, 0.6615296602249146)","(831, 0.6596369743347168)","(1076, 0.6539009809494019)","(959, 0.653466522693634)"
3256,"(832, 0.6602274179458618)","(958, 0.6586630344390869)","(831, 0.6579357981681824)","(8974, 0.6522025465965271)","(1076, 0.6520100831985474)"
3257,"(4066, 0.6475567817687988)","(2099, 0.6439511775970459)","(2098, 0.6436593532562256)","(9684, 0.6394456028938293)","(4065, 0.6392219066619873)"
3258,"(4066, 0.6448220014572144)","(2098, 0.6424956321716309)","(2099, 0.6421657204627991)","(13011, 0.6374762654304504)","(9684, 0.6373395919799805)"
3259,"(4066, 0.6438038945198059)","(2099, 0.6400187611579895)","(2098, 0.6398974061012268)","(9684, 0.6362923383712769)","(9645, 0.635627269744873)"
3260,"(4066, 0.6447998881340027)","(2098, 0.641672670841217)","(2099, 0.6415743231773376)","(9684, 0.6375687122344971)","(9645, 0.6369988918304443)"
3261,"(4066, 0.6438376903533936)","(2098, 0.6411251425743103)","(2099, 0.6407561302185059)","(9684, 0.6367049217224121)","(711, 0.6360489726066589)"
3262,"(4066, 0.6486172080039978)","(2099, 0.6437118053436279)","(2098, 0.6436747312545776)","(9684, 0.6409920454025269)","(4065, 0.6406069397926331)"
